1,no category
2,Desserts aux fruits
3,Gibier
4,Veau
5,Porc
6,Entrées
7,Poissons
8,Légumes
9,Volailles
10,Fromages à pâte pressée
11,Boeuf
12,Agneau
13,Fromages à pâte molle
14,Riz et risottos
15,Crèmes caramel et crèmes brûlées
16,Crustacés
17,Coquillages
18,Fromages de chèvre
19,Lapin
20,Pâtes
21,Charcuterie
22,Abats
23,Desserts au chocolat et café
24,Oeufs
25,Foie gras
26,Apéritif
27,Fromages
28,Fromage "bleus"
29,Soupes
30,Desserts glacés
